Ablennes hians
Pegusa triophthalma
Pelates quadrilineatus
Pelecus cultratus
Pempheris mangula
Pempheris rhomboidea
Penopus microphthalmus
Pentanemus quinquarius
Pentherichthys atratus
Perca fluviatilis
Percarina demidoffii
Periophthalmus barbarus
Peristedion cataphractum
Petromyzon marinus
Petroscirtes ancylodon
Phaenomonas longissima
Pholis gunnellus
Photonectes braueri
Photonectes dinema
Photonectes leucospilus
Photonectes margarita
Photonectes mirabilis
Photonectes parvimanus
Photostomias guernei
Photostylus pycnopterus
Phoxinus phoxinus
Phycis blennoides
Phycis phycis
Physiculus dalwigki
Physiculus huloti
Pisodonophis semicinctus
Planiliza haematocheila
Platax teira
Platichthys flesus
Platichthys solemdali
Platybelone lovii
Platyberyx opalescens
Platycephalus indicus
Platytroctes apus
Platytroctes mirus
Plectorhinchus macrolepis
Plectorhinchus mediterraneus
Pleuronectes platessa
Plotosus lineatus
Pollachius pollachius
Pollachius virens
Pollichthys mauli
Polyacanthonotus africanus
Polyacanthonotus challengeri
Polyacanthonotus merretti
Polyacanthonotus rissoanus
Polydactylus quadrifilis
Polyipnus polli
Polymetme corythaeola
Polymixia nobilis
Polyprion americanus
Pomacanthus imperator
Pomacanthus maculosus
Pomadasys incisus
Pomadasys jubelini
Pomadasys perotaei
Pomadasys rogerii
Pomadasys stridens
Pomadasys suillus
Pomatomus saltatrix
Pomatoschistus bathi
Pomatoschistus knerii
Pomatoschistus lozanoi
Pomatoschistus marmoratus
Pomatoschistus microps
Pomatoschistus minutus
Pomatoschistus norvegicus
Pomatoschistus pictus
Pomatoschistus quagga
Pomatoschistus tortonesei
Ponticola eurycephalus
Ponticola kessleri
Ponticola platyrostris
Ponticola ratan
Ponticola syrman
Pontinus accraensis
Pontinus kuhlii
Porogadus miles
Porogadus subarmatus
Porogobius schlegelii
Poromitra capito
Poromitra crassiceps
Poromitra megalops
Priacanthus arenatus
Priacanthus hamrur
Priacanthus sagittarius
Prionace glauca
Pristis microdon
Pristis pectinata
Pristis perotteti
Pristis pristis
Prognathodes marcellae
Prognichthys gibbifrons
Promethichthys prometheus
Proterorhinus marmoratus
Proterorhinus semilunaris
Protomyctophum arcticum
Psenes pellucidus
Psettodes belcheri
Psettodes bennettii
Pseudaphya ferreri
Pseudocaranx dentex
Pseudocarcharias kamoharai
Pseudomyrophis atlanticus
Pseudophichthys splendens
Pseudotolithus elongatus
Pseudotolithus moorii
Pseudotolithus senegalensis
Pseudotolithus senegallus
Pseudotolithus typus
Pseudotriakis microdon
Pseudupeneus prayensis
Psychrolutes inermis
Psychrolutes subspinosus
Pteraclis carolinus
Pteragogus pelycus
Pteragogus trispilus
Pterois miles
Pteroplatytrygon violacea
Pteroscion peli
Pterycombus brama
Pungitius platygaster
Pungitius pungitius
Pythonichthys microphthalmus
Rachycentron canadum
Radiicephalus elongatus
Raja africana
Raja asterias
Raja brachyura
Raja clavata
Raja herwigi
Raja maderensis
Raja microocellata
Raja miraletus
Raja montagui
Raja polystigma
Raja radula
Raja rondeleti
Raja rouxi
Raja straeleni
Raja undulata
Rajella barnardi
Rajella bathyphila
Rajella bigelowi
Rajella dissimilis
Rajella fyllae
Rajella leoparda
Rajella lintea
Rajella ravidula
Raniceps raninus
Ranzania laevis
Rastrelliger kanagurta
Regalecus glesne
Reinhardtius hippoglossoides
Remora australis
Remora brachyptera
Remora osteochir
Remora remora
Rhabdosargus haffara
Rhadinesthes decimus
Rhincodon typus
Rhinecanthus aculeatus
Rhinobatos albomaculatus
Rhinobatos irvinei
Rhinobatos rhinobatos
Rhinochimaera atlantica
Rhinoptera bonasus
Rhinoptera marginata
Rhizoprionodon acutus
Rhodichthys melanocephalus
Rhodichthys regina
Rhynchobatus luebberti
Rhynchoconger trewavasae
Rhynchogadus hepaticus
Rhynchohyalus natalensis
Rinoctes nasutus
Rondeletia loricata
Rostroraja alba
Rouleina attrita
Rouleina maderensis
Rutilus rutilus
Ruvettus pretiosus
Rypticus saponaceus
Rypticus subbifrenatus
Saccopharynx ampullaceus
Saccopharynx ramosus
Saccopharynx thalassa
Sagamichthys schnakenbecki
Salaria basilisca
Salaria pavo
Salmo labrax
Salmo salar
Salmo trutta
Salvelinus alpinus
Salvelinus fontinalis
Sander lucioperca
Sarda sarda
Sardina pilchardus
Sardinella aurita
Sardinella maderensis
Sardinella rouxi
Sargocentron hastatum
Sargocentron praslin
Sargocentron rubrum
Sarpa salpa
Saurenchelys cancrivora
Saurida brasiliensis
Saurida lessepsianus
Saurida undosquamis
Scardinius erythrophthalmus
Scartella caboverdiana
Scartella cristata
Scarus ghobban
Scarus hoefleri
Scatophagus argus
Schedophilus medusophagus
Schedophilus ovalis
Schedophilus pemarco
Sciadonus cryptophthalmus
Sciadonus galatheae
Sciaena umbra
Sciaenops ocellatus
Scomber colias
Scomber japonicus
Scomber scombrus
Scomberesox saurus
Scomberesox simulans
Scomberomorus commerson
Scomberomorus tritor
Scombrolabrax heterolepis
Scopelarchus analis
Scopelarchus guentheri
Scopelengys tristis
Scopeloberyx opisthopterus
Scopelogadus beanii
Scopelosaurus argenteus
Scopelosaurus lepidus
Scopelosaurus smithii
Scophthalmus maeoticus
Scophthalmus maximus
Scophthalmus rhombus
Scorpaena angolensis
Scorpaena azorica
Scorpaena canariensis
Scorpaena elongata
Scorpaena laevis
Scorpaena loppei
Scorpaena maderensis
Scorpaena normani
Scorpaena notata
Scorpaena porcus
Scorpaena scrofa
Scorpaena stephanica
Scorpaenodes africanus
Scorpaenodes arenai
Scorpaenodes elongatus
Scyliorhinus canicula
Scyliorhinus cervigoni
Scyliorhinus stellaris
Scymnodon ringens
Searsia koefoedi
Sebastapistes mauritiana
Sebastes mentella
Sebastes norvegicus
Sebastes viviparus
Selar boops
Selar crumenophthalmus
Selene dorsalis
Seriola carpenteri
Seriola dumerili
Seriola fasciata
Seriola rivoliana
Serranus atricauda
Serranus cabrilla
Serranus hepatus
Serranus scriba
Serrivomer beanii
Serrivomer lanceolatoides
Serrivomer schmidti
Setarches guentheri
Siganus luridus
Siganus rivulatus
Sigmops bathyphilus
Sigmops elongatus
Silhouettea aegyptia
Sillago suezensis
Silurus glanis
Simenchelys parasitica
Similiparma hermani
Similiparma lurida
Solea aegyptiaca
Solea senegalensis
Solea solea
Solitas gruveli
Somniosus microcephalus
Somniosus rostratus
Sorsogona prionota
Spaniblennius clandestinus
Spaniblennius riodourensis
Sparisoma choati
Sparisoma cretense
Sparus aurata
Spectrunculus grandis
Speleogobius trigloides
Sphagemacrurus hirundo
Sphoeroides marmoratus
Sphoeroides pachygaster
Sphoeroides spengleri
Sphyraena afra
Sphyraena barracuda
Sphyraena chrysotaenia
Sphyraena flavicauda
Sphyraena guachancho
Sphyraena obtusata
Sphyraena pinguis
Sphyraena sphyraena
Sphyraena viridensis
Sphyrna couardi
Sphyrna lewini
Sphyrna mokarran
Sphyrna tudes
Sphyrna zygaena
Spicara alta
Spicara maena
Spicara melanurus
Spicara smaris
Spinachia spinachia
Spondyliosoma cantharus
Spratelloides delicatulus
Sprattus sprattus
Squaliolus laticaudus
Squalius cephalus
Squalus acanthias
Squalus blainville
Squalus megalops
Squatina aculeata
Squatina oculata
Squatina squatina
Stegastes imbricatus
Stephanolepis diaspros
Stephanolepis hispidus
Sternoptyx diaphana
Sternoptyx pseudobscura
Stolephorus insularis
Stomias affinis
Stomias boa
Stomias brevibarbatus
Stomias lampropeltis
Stomias longibarbatus
Stromateus fiatola
Strongylura senegalensis
Stylephorus chordatus
Sudis hyalina
Symbolophorus rufinus
Symbolophorus veranyi
Symphodus bailloni
Symphodus cinereus
Symphodus doderleini
Symphodus mediterraneus
Symphodus melops
Symphodus ocellatus
Symphodus roissali
Symphodus rostratus
Symphodus tinca
Symphodus trutta
Symphurus insularis
Symphurus ligulatus
Symphurus nigrescens
Symphurus reticulatus
Synagrops japonicus
Synaphobranchus kaupii
Synaptura cadenati
Synapturichthys kleinii
Synchiropus phaeton
Syngnathus abaster
Syngnathus acus
Syngnathus phlegon
Syngnathus rostellatus
Syngnathus schmidti
Syngnathus taenionotus
Syngnathus tenuirostris
Syngnathus typhle
Syngnathus variegatus
Synodus saurus
Synodus synodus
Taaningichthys bathyphilus
Taaningichthys minimus
Taaningichthys paurolychnus
Taeniura grabata
Talismania antillarum
Talismania homoptera
Talismania longifilis
Talismania mekistonema
Taractes asper
Taractichthys longipinnis
Taurulus bubalis
Terapon jarbua
Terapon puta
Terapon theraps
Tetragonurus cuvieri
Tetrapturus belone
Tetrapturus georgii
Tetrapturus pfluegeri
Tetronarce nobiliana
Thalassobathia pelagica
Thalassoma pavo
Theragra finnmarchica
Thorogobius angolensis
Thorogobius ephippiatus
Thorogobius macrolepis
Thunnus alalunga
Thunnus albacares
Thunnus obesus
Thunnus thynnus
Thymallus thymallus
Tinca tinca
Torpedo alexandrinsis
Torpedo bauchotae
Torpedo mackayana
Torpedo marmorata
Torpedo sinuspersici
Torpedo torpedo
Torquigener flavimaculosus
Trachinocephalus myops
Trachinotus goreensis
Trachinotus maxillosus
Trachinotus ovatus
Trachinotus teraia
Trachinus araneus
Trachinus armatus
Trachinus draco
Trachinus pellegrini
Trachinus radiatus
Trachipterus arcticus
Trachipterus trachypterus
Trachonurus sulcatus
Trachonurus villosus
Trachurus mediterraneus
Trachurus picturatus
Trachurus trachurus
Trachurus trecae
Trachyrincus murrayi
Trachyrincus scabrus
Trachyscorpia cristulata
Trichiurus lepturus
Tridentiger trigonocephalus
Trigla lyra
Triglops murrayi
Triglops nybelini
Triglops pingelii
Trigonolampa miriceps
Tripterygion delaisi
Tripterygion melanurum
Tripterygion tripteronotum
Trisopterus capelanus
Trisopterus esmarkii
Trisopterus luscus
Trisopterus minutus
Trypauchen vagina
Tylerius spinosissimus
Tylosurus acus
Tylosurus choram
Tylosurus crocodilus
Umbrina canariensis
Umbrina cirrosa
Umbrina ronchus
Umbrina steindachneri
Uncisudis longirostra
Upeneus moluccensis
Upeneus pori
Uranoscopus polli
Uranoscopus scaber
Uraspis secunda
Urogymnus asperrimus
Urophycis tenuis
Uropterygius wheeleri
Valenciennellus tripunctulatus
Vanderhorstia mertensi
Vanneaugobius canariensis
Vanneaugobius dollfusi
Vanneaugobius pruvoti
Venefica proboscidea
Vimba vimba
Vinciguerria attenuata
Vinciguerria nimbaria
Vinciguerria poweriae
Virididentex acromegalus
Wheelerigobius maltzani
Xenodermichthys copei
Xenolepidichthys dalgleishi
Xiphias gladius
Xyrichtys novacula
Yarrella blackfordi
Zameus squamulosus
Zanobatus schoenleinii
Zebrus zebrus
Zenion hololepis
Zenion longipinnis
Zenopsis conchifer
Zeugopterus norvegicus
Zeugopterus punctatus
Zeugopterus regius
Zeus faber
Zoarces viviparus
Zosterisessor ophiocephalus
Zu cristatus
