Ablennes hians
Careproctus knipowitschi
Careproctus latiosus
Careproctus longipinnis
Careproctus macrophthalmus
Careproctus micropus
Careproctus moskalevi
Careproctus reinhardti
Careproctus solidus
Careproctus tapirus
Careproctus telescopus
Carlarius heudelotii
Carlarius parkii
Caspiosoma caspium
Cataetyx alleni
Cataetyx laticeps
Caulophryne polynema
Centracanthus cirrus
Centrobranchus nigroocellatus
Centrolabrus exoletus
Centrolabrus melanocercus
Centrolophus niger
Centrophorus granulosus
Centrophorus lusitanicus
Centrophorus squamosus
Centrophorus uyato
Centroscyllium fabricii
Centroscymnus coelolepis
Centroscymnus crepidater
Centroscymnus owstonii
Cephalopholis nigri
Cephalopholis taeniops
Cepola macrophthalma
Cepola pauciradiata
Ceratias holboelli
Ceratias uranoscopus
Ceratoscopelus maderensis
Ceratoscopelus warmingii
Cetomimus gillii
Cetomimus hempeli
Cetonurus globiceps
Cetorhinus maximus
Cetostoma regani
Chaenophryne draco
Chaetodipterus lippei
Chaetodon hoefleri
Chaetodon larvatus
Chaetodon robustus
Champsodon nudivittis
Champsodon vorax
Channomuraena vittata
Chanos chanos
Chauliodus danae
Chauliodus schmidti
Chauliodus sloani
Chaunax pictus
Chaunax suttkusi
Cheilopogon exsiliens
Cheilopogon furcatus
Cheilopogon heterurus
Cheilopogon melanurus
Cheilopogon pinnatibarbatus
Chelidonichthys cuculus
Chelidonichthys lastoviza
Chelidonichthys lucerna
Chelidonichthys obscurus
Chelidoperca africana
Chelon auratus
Chelon bispinosus
Chelon dumerili
Chelon labrosus
Chelon ramada
Chelon saliens
Chiasmodon niger
Chilomycterus antennatus
Chilomycterus reticulatus
Chilomycterus spinosus
Chimaera monstrosa
Chirolophis ascanii
Chirostomias pliopterus
Chlamydoselachus anguineus
Chlopsis bicolor
Chlopsis olokun
Chlorophthalmus agassizi
Chloroscombrus chrysurus
Chromis cadenati
Chromis chromis
Chromis limbata
Chromis lubbocki
Chromis viridis
Chromogobius quadrivittatus
Chromogobius zebratus
Ciliata mustela
Ciliata septentrionalis
Citharichthys stampflii
Citharus linguatula
Clinitrachus argentatus
Clupea harengus
Clupea pallasii
Clupeonella cultriventris
Coelorinchus caelorhincus
Coelorinchus labiatus
Coelorinchus mediterraneus
Coelorinchus occa
Coloconger cadenati
Conger conger
Conocara macropterum
Conocara microlepis
Conocara murrayi
Conocara salmoneum
Conocara werneri
Corcyrogobius liechtensteini
Coregonus albula
Coregonus lavaretus
Coregonus maraena
Coregonus nasus
Coregonus oxyrinchus
Coregonus pallasii
Coregonus peled
Coris julis
Coryogalops ocheticus
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides armatus
Coryphaenoides brevibarbis
Coryphaenoides carapinus
Coryphaenoides guentheri
Coryphaenoides leptolepis
Coryphaenoides marshalli
Coryphaenoides mediterraneus
Coryphaenoides paramarshalli
Coryphaenoides profundicolus
Coryphaenoides rudis
Coryphaenoides rupestris
Coryphaenoides thelestomus
Coryphaenoides zaniophorus
Coryphoblennius galerita
Cosmocampus retropinnis
Cottunculus microps
Cottunculus sadko
Cottunculus thomsonii
Cottus gobio
Cottus poecilopus
Crenidens crenidens
Cryptopsaras couesii
Crystallogobius linearis
Ctenogobius lepturus
Ctenolabrus rupestris
Cubiceps capensis
Cubiceps gracilis
Cyclichthys spilostylus
Cyclopteropsis mcalpini
Cyclopterus lumpus
Cyclothone acclinidens
Cyclothone alba
Cyclothone braueri
Cyclothone livida
Cyclothone microdon
Cyclothone obscura
Cyclothone pallida
Cyclothone parapallida
Cyclothone pseudopallida
Cyclothone pygmaea
Cyema atrum
Cynoglossus browni
Cynoglossus cadenati
Cynoglossus canariensis
Cynoglossus monodi
Cynoglossus senegalensis
Cynoglossus sinusarabici
Cynoponticus ferox
Cyprinus carpio
Cyttopsis rosea
Dactylopterus volitans
Dagetichthys lusitanicus
Dalatias licha
Dalophis boulengeri
Dalophis cephalopeltis
Dalophis imberbis
Dalophis multidentatus
Dalophis obtusirostris
Dasyatis chrysonota
Dasyatis marmorata
Dasyatis pastinaca
Dasyatis tortonesei
Deania calcea
Deania hystricosa
Deania profundorum
Decapterus macarellus
Decapterus punctatus
Decapterus russelli
Deltentosteus collonianus
Deltentosteus quadrimaculatus
Dentex angolensis
Dentex canariensis
Dentex congoensis
Dentex dentex
Dentex gibbosus
Dentex macrophthalmus
Dentex maroccanus
Derichthys serpentinus
Desmodema polystictum
Diaphus adenomus
Diaphus bertelseni
Diaphus brachycephalus
Diaphus dumerilii
Diaphus effulgens
Diaphus fragilis
Diaphus garmani
Diaphus holti
Diaphus lucidus
Diaphus luetkeni
Diaphus metopoclampus
Diaphus mollis
Diaphus perspicillatus
Diaphus rafinesquii
Diaphus splendidus
Diaphus subtilis
Diaphus taaningi
Diaphus termophilus
Dibranchus atlanticus
Dicentrarchus labrax
Dicentrarchus punctatus
Dicologlossa cuneata
Dicologlossa hexophthalma
Didogobius bentuvii
Didogobius kochi
Didogobius schlieweni
Didogobius splechtnai
Diodon hystrix
Diogenichthys atlanticus
Diplecogaster bimaculata
Diplecogaster ctenocrypta
Diplecogaster euxinica
Diplecogaster pectoralis
Diplodus annularis
Diplodus bellottii
Diplodus cadenati
Diplodus cervinus
Diplodus fasciatus
Diplodus lineatus
Diplodus prayensis
Diplodus puntazzo
Diplodus sargus
Diplodus vulgaris
Diplophos taenia
Diplospinus multistriatus
Dipturus batis
Dipturus doutrei
Dipturus nidarosiensis
Dipturus oxyrinchus
Diretmichthys parini
Diretmus argenteus
Ditropichthys storeri
Dolicholagus longirostris
Dolichopteryx longipes
Dolopichthys danae
Dolopichthys jubatus
Dormitator lebretonis
Drepane africana
Dussumieria acuta
Dussumieria elopsoides
Dysalotus alcocki
Dysomma brevirostre
Ebinania costaecanariae
Echelus myrus
Echelus pachyrhynchus
Echeneis naucrates
Echidna peli
Echiichthys vipera
Echinorhinus brucus
Echiodon dentatus
Echiodon drummondii
Echiostoma barbatum
Einara edentula
Einara macrolepis
Elagatis bipinnulata
Electrona risso
Eleotris senegalensis
Eleotris vittata
Elops lacerta
Elops senegalensis
Enchelycore anatina
Enchelycore nigricans
Enchelyopus cimbrius
Encrasicholina gloria
Engraulis albidus
Engraulis encrasicolus
Entelurus aequoreus
Entomacrodus cadenati
Ephippion guttifer
Ephippus goreensis
Epigonus constanciae
Epigonus denticulatus
Epigonus pandionis
Epigonus telescopus
Epinephelus aeneus
Epinephelus caninus
Epinephelus coioides
Epinephelus costae
Epinephelus goreensis
Epinephelus itajara
Epinephelus malabaricus
Epinephelus marginatus
Epinephelus tauvina
Equulites klunzingeri
Eretmophorus kleinenbergi
Erythrocles monodi
Esox lucius
Ethmalosa fimbriata
Etmopterus polli
Etmopterus princeps
Etmopterus pusillus
Etmopterus spinax
Etrumeus golanii
Etrumeus sadina
Eucinostomus melanopterus
Euleptorhamphus velox
Eumicrotremus derjugini
Eumicrotremus spinosus
Eurypharynx pelecanoides
Eustomias achirus
Eustomias bimargaritatus
Eustomias dendriticus
Eustomias enbarbatus
Eustomias filifer
Eustomias fissibarbis
Eustomias lipochirus
Eustomias longibarba
Eustomias macronema
Eustomias melanonema
Eustomias melanostigma
Eustomias obscurus
Eustomias patulus
Eustomias schmidti
Eustomias simplex
Eustomias tetranema
Eustomias triramis
Eutaeniophorus festivus
Eutelichthys leptochirus
Euthynnus alletteratus
Eutrigla gurnardus
Evermannella balbo
Evynnis ehrenbergii
Exocoetus obtusirostris
Exocoetus volitans
Facciolella oxyrhyncha
Favonigobius melanobranchus
Fistularia commersonii
Fistularia petimba
Fistularia tabacaria
Flagellostomias boureei
Fodiator acutus
Fontitrygon margarita
Fontitrygon margaritella
Fowlerichthys radiosus
Fowlerichthys senegalensis
Fundulus heteroclitus
Gadella imberbis
Gadella maraldi
Gadiculus argenteus
Gadiculus thori
Gadomus arcuatus
Gadomus dispar
Gadomus longifilis
Gadus morhua
Gaidropsarus argentatus
Gaidropsarus biscayensis
Gaidropsarus ensis
Gaidropsarus granti
Gaidropsarus guttatus
Gaidropsarus macrophthalmus
Gaidropsarus mediterraneus
Gaidropsarus vulgaris
Galeocerdo cuvier
Galeoides decadactylus
Galeorhinus galeus
Galeus atlanticus
Galeus melastomus
Galeus murinus
Galeus polli
Gammogobius steinitzi
Gasterosteus aculeatus
Gempylus serpens
Gephyroberyx darwinii
Gerres nigri
Gigantactis vanhoeffeni
Gigantura chuni
Ginglymostoma cirratum
Girella stuebeli
Girella zonata
Glaucostegus cemiculus
Glaucostegus halavi
Glossanodon leioglossus
Glossanodon polli
Glyptocephalus cynoglossus
Gnathophis mystax
Gobioides africanus
Gobionellus occidentalis
Gobius ater
Gobius auratus
Gobius bucchichi
Gobius cobitis
Gobius couchi
Gobius cruentatus
Gobius fallax
Gobius gasteveni
Gobius geniporus
Gobius incognitus
Gobius kolombatovici
Gobius niger
Gobius paganellus
Gobius roulei
Gobius rubropunctatus
Gobius senegambiensis
Gobius strictus
Gobius vittatus
Gobius xanthocephalus
Gobiusculus flavescens
Gonichthys cocco
Gonostoma atlanticum
Gonostoma denudatum
Gorogobius nigricinctus
Gouania willdenowi
Grammatostomias circularis
Grammatostomias dentatus
Grammatostomias flagellibarba
Grammicolepis brachiusculus
Grammonus ater
Guentherus altivela
Guttigadus latifrons
Gymnammodytes cicerelus
Gymnammodytes semisquamatus
Gymnelus andersoni
Gymnelus hemifasciatus
Gymnelus retrodorsalis
Gymnelus viridis
Gymnocanthus tricuspis
Gymnocephalus cernua
Gymnothorax afer
Gymnothorax maderensis
Gymnothorax mareei
Gymnothorax miliaris
Gymnothorax polygonius
Gymnothorax reticularis
Gymnothorax unicolor
Gymnothorax vicinus
Gymnura altavela
Gymnura hirundo
Gymnura micrura
Halargyreus johnsonii
Halobatrachus didactylus
Halosauropsis macrochir
Halosaurus guentheri
Halosaurus johnsonianus
Halosaurus ovenii
Haplophryne mollis
Haptenchelys texis
Harriotta haeckeli
Harriotta raleighana
Helicolenus dactylopterus
Hemerorhinus opici
Hemiramphus balao
Hemiramphus brasiliensis
Hemiramphus far
Heptranchias perlo
Herklotsichthys punctatus
Herpetoichthys regius
Herwigia kreffti
Heteroconger longissimus
Heteromycteris proboscideus
Heterophotus ophistoma
Heteropriacanthus cruentatus
Hexanchus griseus
Hexanchus nakamurai
Himantolophus albinares
Himantolophus compressus
Himantolophus groenlandicus
Himantolophus mauli
Himantura uarnak
Hippocampus algiricus
Hippocampus fuscus
Hippocampus guttulatus
Hippocampus hippocampus
Hippoglossoides platessoides
Hippoglossus hippoglossus
Hirundichthys rondeletii
Hirundichthys speculiger
Histiobranchus bathybius
Histrio histrio
Holacanthus africanus
Holacanthus ciliaris
Holcomycteronus profundissimus
Holcomycteronus squamosus
Holtbyrnia anomala
Holtbyrnia cyanocephala
Holtbyrnia macrops
Hoplostethus atlanticus
Hoplostethus cadenati
Hoplostethus mediterraneus
Howella sherborni
Huso huso
Hydrolagus affinis
Hydrolagus alberti
Hydrolagus mirabilis
Hygophum benoiti
Hygophum hygomii
Hygophum macrochir
Hygophum reinhardtii
Hygophum taaningi
Hymenocephalus italicus
Hymenogadus gracilis
Hyperoglyphe perciformis
Hyperoplus immaculatus
Hyperoplus lanceolatus
Hypleurochilus aequipinnis
Hypleurochilus bananensis
Hypleurochilus langi
Hypophthalmichthys molitrix
Hyporhamphus affinis
Hyporhamphus picarti
Hyporthodus haifensis
Icelus bicornis
Icelus spatula
Ichthyococcus ovatus
Idiacanthus fasciola
Ijimaia loppei
Ilisha africana
Ilyophis arx
Ilyophis blachei
Ilyophis brunneus
Iniistius pavo
Ipnops murrayi
Isistius brasiliensis
Istiompax indica
Istiophorus albicans
Istiophorus platypterus
Isurus oxyrinchus
Isurus paucus
Jaydia queketti
Jaydia smithi
Kajikia albida
Kaperangus microlepis
Katsuwonus pelamis
Knipowitschia cameliae
Knipowitschia caucasica
Kumba dentoni
Kyphosus incisor
Kyphosus sectatrix
Labichthys carinatus
Labrisomus nuchipinnis
Labrus bergylta
Labrus merula
Labrus mixtus
Labrus viridis
Lactophrys trigonus
Laemonema laureysi
Laemonema robustum
Laemonema yarrellii
Lagocephalus laevigatus
Lagocephalus lagocephalus
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Lamna nasus
Lampadena anomala
Lampadena atlantica
Lampadena chavesi
Lampadena luminosa
Lampadena pontifex
Lampadena speculigera
Lampanyctus alatus
Lampanyctus crocodilus
Lampanyctus festivus
