"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Actinopteri" "Zeiformes" "Oreosomatidae" "Allocyttus" "Allocyttus guineensis" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Zeiformes" "Oreosomatidae" "Allocyttus" "Allocyttus verrucosus" 5 4 6 0
"Animalia" "Chordata" "Elasmobranchii" "Lamniformes" "Alopiidae" "Alopias" "Alopias superciliosus" 123 7 7 4
"Animalia" "Chordata" "Elasmobranchii" "Lamniformes" "Alopiidae" "Alopias" "Alopias vulpinus" 51 7 6 4
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa algeriensis" 2 0 1 1
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa alosa" 31 2 4 197
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa caspia" 0 0 0 2
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa fallax" 18 5 13 520
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa immaculata" 17 0 0 19
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa maeotica" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa tanaica" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus monoceros" 35 3 5 4
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus schoepfii" 6 1 1 1
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus scriptus" 14 4 3 6
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Rajidae" "Amblyraja" "Amblyraja hyperborea" 44 3 4 3
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Rajidae" "Amblyraja" "Amblyraja radiata" 146 6 6 38
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes dubius" 18 3 2 2
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes marinus" 50 10 1 1
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes tobianus" 8 9 2 1
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Muraenidae" "Anarchias" "Anarchias euryurus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas denticulatus" 23 24 22 22
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas lupus" 187 91 93 95
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas minor" 21 20 19 21
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Anguillidae" "Anguilla" "Anguilla anguilla" 230 64 268 140
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Anguillidae" "Anguilla" "Anguilla japonica" 17 15 274 73
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Stichaeidae" "Anisarchus" "Anisarchus medius" 29 3 2 6
"Animalia" "Chordata" "Actinopteri" "Trachichthyiformes" "Anoplogastridae" "Anoplogaster" "Anoplogaster cornuta" 36 6 7 7
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Anotopteridae" "Anotopterus" "Anotopterus pharao" 7 2 1 1
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennarius" "Antennarius pardalis" 0 0 0 0
