"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name"
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa fallax"
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa immaculata"
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa maeotica"
"Animalia" "Chordata" "Actinopteri" "Clupeiformes" "Clupeidae" "Alosa" "Alosa tanaica"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus monoceros"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus schoepfii"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Monacanthidae" "Aluterus" "Aluterus scriptus"
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Rajidae" "Amblyraja" "Amblyraja hyperborea"
"Animalia" "Chordata" "Elasmobranchii" "Rajiformes" "Rajidae" "Amblyraja" "Amblyraja radiata"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes dubius"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes marinus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Ammodytidae" "Ammodytes" "Ammodytes tobianus"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Muraenidae" "Anarchias" "Anarchias euryurus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas denticulatus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas lupus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Anarhichadidae" "Anarhichas" "Anarhichas minor"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Anguillidae" "Anguilla" "Anguilla anguilla"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Anguillidae" "Anguilla" "Anguilla japonica"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Stichaeidae" "Anisarchus" "Anisarchus medius"
"Animalia" "Chordata" "Actinopteri" "Trachichthyiformes" "Anoplogastridae" "Anoplogaster" "Anoplogaster cornuta"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Anotopteridae" "Anotopterus" "Anotopterus pharao"
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennarius" "Antennarius pardalis"
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennarius" "Antennarius striatus"
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennatus" "Antennatus nummifer"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Serranidae" "Anthias" "Anthias anthias"
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Caproidae" "Antigonia" "Antigonia capros"
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Moridae" "Antimora" "Antimora rostrata"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Apagesoma" "Apagesoma delosommatus"
"Animalia" "Chordata" "Actinopteri" "Cyprinodontiformes" "Cyprinodontidae" "Aphanius" "Aphanius dispar"
"Animalia" "Chordata" "Actinopteri" "Cyprinodontiformes" "Cyprinodontidae" "Aphanius" "Aphanius fasciatus"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Trichiuridae" "Aphanopus" "Aphanopus carbo"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Trichiuridae" "Aphanopus" "Aphanopus intermedius"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Aphia" "Aphia minuta"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Aphyonus" "Aphyonus gelatinosus"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Aphyonus" "Aphyonus rassi"
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon bacescui"
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon dentatus"
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon incognitus"
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon pellegrini"
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogon" "Apogon imberbis"
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides nigripinnis"
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides pharaonis"
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides taeniatus"
"Animalia" "Chordata" "Elasmobranchii" "Carcharhiniformes" "Pentanchidae" "Apristurus" "Apristurus laurussonii"
"Animalia" "Chordata" "Elasmobranchii" "Carcharhiniformes" "Pentanchidae" "Apristurus" "Apristurus profundorum"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Lutjanidae" "Apsilus" "Apsilus fuscus"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus anguiformis"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus caecus"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Ophichthidae" "Apterichtus" "Apterichtus monodi"
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Gadidae" "Arctogadus" "Arctogadus glacialis"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Paralepididae" "Arctozenus" "Arctozenus risso"
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Argentinidae" "Argentina" "Argentina silus"
"Animalia" "Chordata" "Actinopteri" "Argentiniformes" "Argentinidae" "Argentina" "Argentina sphyraena"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyripnus" "Argyripnus atlanticus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus aculeatus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus affinis"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus gigas"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus hemigymnus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus olfersii"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Sternoptychidae" "Argyropelecus" "Argyropelecus sladeni"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sciaenidae" "Argyrosomus" "Argyrosomus regius"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Ariommatidae" "Ariomma" "Ariomma bondi"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Ariommatidae" "Ariomma" "Ariomma melanum"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Congridae" "Ariosoma" "Ariosoma balearicum"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias grimaldii"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias lunifer"
