"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Pagellus_erythrinus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Pagellus"	2
"Pagrus_auriga"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Pagrus"	3
"Pagrus_caeruleostictus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Pagrus"	1
"Pagrus_major"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Pagrus"	2
"Pagrus_pagrus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Pagrus"	1
"Pampus_argenteus"	"Chordata"	"Actinopteri"	"Perciformes"	"Stromateidae"	"Pampus"	4
"Parablennius_rouxi"	"Chordata"	"Actinopteri"	"Blenniiformes"	"Blenniidae"	"Parablennius"	1
"Parachelon_grandisquamis"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Parachelon"	2
"Paraconger_notialis"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Congridae"	"Paraconger"	3
"Paraliparis_copei"	"Chordata"	"Actinopteri"	"Perciformes"	"Liparidae"	"Paraliparis"	1
"Parataeniophorus_gulosus"	"Chordata"	"Actinopteri"	"Beryciformes"	"Cetomimidae"	"Parataeniophorus"	2
"Pelates_quadrilineatus"	"Chordata"	"Actinopteri"	"Centrarchiformes"	"Terapontidae"	"Pelates"	2
"Pelecus_cultratus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Pelecus"	2
"Pentanemus_quinquarius"	"Chordata"	"Actinopteri"	"Carangaria"	"Polynemidae"	"Pentanemus"	1
"Perca_fluviatilis"	"Chordata"	"Actinopteri"	"Perciformes"	"Percidae"	"Perca"	12
"Periophthalmus_barbarus"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Periophthalmus"	1
"Petroscirtes_ancylodon"	"Chordata"	"Actinopteri"	"Blenniiformes"	"Blenniidae"	"Petroscirtes"	1
"Pholis_gunnellus"	"Chordata"	"Actinopteri"	"Perciformes"	"Pholidae"	"Pholis"	5
"Photonectes_margarita"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Photonectes"	1
"Phoxinus_phoxinus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Phoxinus"	8
"Planiliza_haematocheila"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Planiliza"	4
"Platax_teira"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Ephippidae"	"Platax"	3
"Platichthys_flesus"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Pleuronectidae"	"Platichthys"	1
"Platycephalus_indicus"	"Chordata"	"Actinopteri"	"Perciformes"	"Platycephalidae"	"Platycephalus"	3
"Platytroctes_apus"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Platytroctidae"	"Platytroctes"	2
"Pleuronectes_platessa"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Pleuronectidae"	"Pleuronectes"	1
"Plotosus_lineatus"	"Chordata"	"Actinopteri"	"Siluriformes"	"Plotosidae"	"Plotosus"	3
"Pollachius_pollachius"	"Chordata"	"Actinopteri"	"Gadiformes"	"Gadidae"	"Pollachius"	6
"Pollachius_virens"	"Chordata"	"Actinopteri"	"Gadiformes"	"Gadidae"	"Pollachius"	5
"Polyacanthonotus_rissoanus"	"Chordata"	"Actinopteri"	"Notacanthiformes"	"Notacanthidae"	"Polyacanthonotus"	5
"Polyprion_americanus"	"Chordata"	"Actinopteri"	"Acropomatiformes"	"Polyprionidae"	"Polyprion"	1
"Pomacanthus_imperator"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Pomacanthidae"	"Pomacanthus"	2
"Pomacanthus_maculosus"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Pomacanthidae"	"Pomacanthus"	2
"Pomadasys_stridens"	"Chordata"	"Actinopteri"	"Eupercaria"	"Haemulidae"	"Pomadasys"	1
"Pomatomus_saltatrix"	"Chordata"	"Actinopteri"	"Scombriformes"	"Pomatomidae"	"Pomatomus"	3
"Pomatoschistus_knerii"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Pomatoschistus"	1
"Pomatoschistus_marmoratus"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Pomatoschistus"	1
"Pomatoschistus_microps"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Pomatoschistus"	1
"Pomatoschistus_minutus"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Pomatoschistus"	1
"Ponticola_kessleri"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Ponticola"	2
"Porogobius_schlegelii"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Porogobius"	1
"Prionace_glauca"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Prionace"	5
"Pristis_pectinata"	"Chordata"	"Elasmobranchii"	"Rhinopristiformes"	"Pristidae"	"Pristis"	6
"Pristis_pristis"	"Chordata"	"Elasmobranchii"	"Rhinopristiformes"	"Pristidae"	"Pristis"	4
"Promethichthys_prometheus"	"Chordata"	"Actinopteri"	"Scombriformes"	"Gempylidae"	"Promethichthys"	4
"Proterorhinus_marmoratus"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Proterorhinus"	1
"Proterorhinus_semilunaris"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Proterorhinus"	4
"Protomyctophum_arcticum"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Protomyctophum"	1
"Pseudaphya_ferreri"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Pseudaphya"	2
"Pseudotolithus_elongatus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sciaenidae"	"Pseudotolithus"	2
"Pseudotolithus_typus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sciaenidae"	"Pseudotolithus"	2
"Pseudotriakis_microdon"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Pseudotriakidae"	"Pseudotriakis"	1
"Pterois_miles"	"Chordata"	"Actinopteri"	"Perciformes"	"Scorpaenidae"	"Pterois"	2
"Pteroplatytrygon_violacea"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Dasyatidae"	"Pteroplatytrygon"	2
"Pungitius_platygaster"	"Chordata"	"Actinopteri"	"Perciformes"	"Gasterosteidae"	"Pungitius"	2
"Pungitius_pungitius"	"Chordata"	"Actinopteri"	"Perciformes"	"Gasterosteidae"	"Pungitius"	9
"Pythonichthys_microphthalmus"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Heterenchelyidae"	"Pythonichthys"	2
"Rachycentron_canadum"	"Chordata"	"Actinopteri"	"Carangiformes"	"Rachycentridae"	"Rachycentron"	6
"Raja_asterias"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	2
"Raja_brachyura"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	4
"Raja_clavata"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	3
"Raja_microocellata"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	1
"Raja_miraletus"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	2
"Raja_montagui"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	1
"Raja_polystigma"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	3
"Raja_undulata"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Raja"	2
"Rajella_bigelowi"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Rajella"	1
"Rajella_fyllae"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Rajella"	2
"Rajella_lintea"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Rajella"	2
"Raniceps_raninus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Gadidae"	"Raniceps"	2
"Ranzania_laevis"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Molidae"	"Ranzania"	2
"Rastrelliger_kanagurta"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Rastrelliger"	4
"Reinhardtius_hippoglossoides"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Pleuronectidae"	"Reinhardtius"	6
"Remora_australis"	"Chordata"	"Actinopteri"	"Carangiformes"	"Echeneidae"	"Remora"	1
"Remora_brachyptera"	"Chordata"	"Actinopteri"	"Carangiformes"	"Echeneidae"	"Remora"	2
"Remora_osteochir"	"Chordata"	"Actinopteri"	"Carangiformes"	"Echeneidae"	"Remora"	1
"Remora_remora"	"Chordata"	"Actinopteri"	"Carangiformes"	"Echeneidae"	"Remora"	1
"Rhabdosargus_haffara"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Rhabdosargus"	2
"Rhincodon_typus"	"Chordata"	"Elasmobranchii"	"Orectolobiformes"	"Rhincodontidae"	"Rhincodon"	4
"Rhinecanthus_aculeatus"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Balistidae"	"Rhinecanthus"	3
"Rhinoptera_bonasus"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Myliobatidae"	"Rhinoptera"	2
"Rhizoprionodon_acutus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Rhizoprionodon"	3
"Rhodichthys_regina"	"Chordata"	"Actinopteri"	"Perciformes"	"Liparidae"	"Rhodichthys"	2
"Rinoctes_nasutus"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Rinoctes"	1
"Rondeletia_loricata"	"Chordata"	"Actinopteri"	"Beryciformes"	"Rondeletiidae"	"Rondeletia"	2
"Rostroraja_alba"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Rajidae"	"Rostroraja"	1
"Rutilus_rutilus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Rutilus"	3
"Ruvettus_pretiosus"	"Chordata"	"Actinopteri"	"Scombriformes"	"Gempylidae"	"Ruvettus"	5
"Salmo_salar"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Salmo"	14
"Salmo_trutta"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Salmo"	19
"Salvelinus_alpinus"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Salvelinus"	23
"Salvelinus_fontinalis"	"Chordata"	"Actinopteri"	"Salmoniformes"	"Salmonidae"	"Salvelinus"	7
"Sander_lucioperca"	"Chordata"	"Actinopteri"	"Perciformes"	"Percidae"	"Sander"	5
"Sarda_sarda"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Sarda"	2
"Sardina_pilchardus"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Sardina"	4
"Sardinella_aurita"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Sardinella"	1
"Sardinella_maderensis"	"Chordata"	"Actinopteri"	"Clupeiformes"	"Clupeidae"	"Sardinella"	2
"Sargocentron_rubrum"	"Chordata"	"Actinopteri"	"Holocentriformes"	"Holocentridae"	"Sargocentron"	4
"Saurida_undosquamis"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Synodontidae"	"Saurida"	3
"Scardinius_erythrophthalmus"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Scardinius"	4
"Scarus_ghobban"	"Chordata"	"Actinopteri"	"Eupercaria"	"Scaridae"	"Scarus"	3
"Scatophagus_argus"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Scatophagidae"	"Scatophagus"	8
"Schedophilus_medusophagus"	"Chordata"	"Actinopteri"	"Scombriformes"	"Centrolophidae"	"Schedophilus"	3
