"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Bathyraja_richardsoni"	"Chordata"	"Elasmobranchii"	"Rajiformes"	"Arhynchobatidae"	"Bathyraja"	2
"Bathysaurus_ferox"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Bathysauridae"	"Bathysaurus"	2
"Bathysaurus_mollis"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Bathysauridae"	"Bathysaurus"	1
"Bathytoshia_centroura"	"Chordata"	"Elasmobranchii"	"Myliobatiformes"	"Dasyatidae"	"Bathytoshia"	6
"Bathytroctes_macrolepis"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Bathytroctes"	3
"Bathytroctes_michaelsarsi"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Bathytroctes"	3
"Bathytroctes_microlepis"	"Chordata"	"Actinopteri"	"Alepocephaliformes"	"Alepocephalidae"	"Bathytroctes"	3
"Bathytyphlops_sewelli"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Ipnopidae"	"Bathytyphlops"	2
"Bathyuroconger_vicinus"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Congridae"	"Bathyuroconger"	1
"Belone_belone"	"Chordata"	"Actinopteri"	"Beloniformes"	"Belonidae"	"Belone"	3
"Benthosema_glaciale"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Benthosema"	2
"Benthosema_suborbitale"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Benthosema"	3
"Beryx_decadactylus"	"Chordata"	"Actinopteri"	"Beryciformes"	"Berycidae"	"Beryx"	5
"Beryx_splendens"	"Chordata"	"Actinopteri"	"Beryciformes"	"Berycidae"	"Beryx"	6
"Blennius_ocellaris"	"Chordata"	"Actinopteri"	"Blenniiformes"	"Blenniidae"	"Blennius"	4
"Blicca_bjoerkna"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Blicca"	5
"Bodianus_speciosus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Bodianus"	1
"Bolinichthys_indicus"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Bolinichthys"	3
"Bolinichthys_photothorax"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Bolinichthys"	2
"Boops_boops"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Boops"	3
"Boreogadus_saida"	"Chordata"	"Actinopteri"	"Gadiformes"	"Gadidae"	"Boreogadus"	67
"Borostomias_antarcticus"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Borostomias"	1
"Borostomias_elucens"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Borostomias"	1
"Bregmaceros_atlanticus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Bregmacerotidae"	"Bregmaceros"	1
"Bregmaceros_nectabanus"	"Chordata"	"Actinopteri"	"Gadiformes"	"Bregmacerotidae"	"Bregmaceros"	5
"Brosme_brosme"	"Chordata"	"Actinopteri"	"Gadiformes"	"Lotidae"	"Brosme"	3
"Buenia_affinis"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Buenia"	1
"Buglossidium_luteum"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Soleidae"	"Buglossidium"	3
"Callionymus_lyra"	"Chordata"	"Actinopteri"	"Callionymiformes"	"Callionymidae"	"Callionymus"	3
"Callionymus_maculatus"	"Chordata"	"Actinopteri"	"Callionymiformes"	"Callionymidae"	"Callionymus"	4
"Canthidermis_maculata"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Balistidae"	"Canthidermis"	5
"Canthidermis_sufflamen"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Balistidae"	"Canthidermis"	1
"Canthigaster_rostrata"	"Chordata"	"Actinopteri"	"Tetraodontiformes"	"Tetraodontidae"	"Canthigaster"	1
"Capros_aper"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Caproidae"	"Capros"	3
"Caranx_crysos"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Caranx"	1
"Caranx_hippos"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Caranx"	1
"Caranx_lugubris"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Caranx"	1
"Carapus_acus"	"Chordata"	"Actinopteri"	"Ophidiiformes"	"Carapidae"	"Carapus"	2
"Carassius_carassius"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Carassius"	5
"Carassius_gibelio"	"Chordata"	"Actinopteri"	"Cypriniformes"	"Cyprinidae"	"Carassius"	24
"Carcharhinus_amboinensis"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	2
"Carcharhinus_brachyurus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	2
"Carcharhinus_brevipinna"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	3
"Carcharhinus_falciformis"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	5
"Carcharhinus_galapagensis"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	2
"Carcharhinus_leucas"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	3
"Carcharhinus_limbatus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	6
"Carcharhinus_longimanus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	2
"Carcharhinus_melanopterus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	3
"Carcharhinus_obscurus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	4
"Carcharhinus_plumbeus"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Carcharhinidae"	"Carcharhinus"	4
"Carcharias_taurus"	"Chordata"	"Elasmobranchii"	"Lamniformes"	"Odontaspididae"	"Carcharias"	6
"Carcharodon_carcharias"	"Chordata"	"Elasmobranchii"	"Lamniformes"	"Lamnidae"	"Carcharodon"	132
"Careproctus_reinhardti"	"Chordata"	"Actinopteri"	"Perciformes"	"Liparidae"	"Careproctus"	1
"Centrobranchus_nigroocellatus"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Centrobranchus"	1
"Centrolabrus_exoletus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Labridae"	"Centrolabrus"	3
"Centrophorus_granulosus"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Centrophoridae"	"Centrophorus"	2
